Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
2-Methoxyethanol,COCCO,1.02,-2.54,16,305.15,Abdominal Human Skin,Static,PBS/Saline,COCCO
2-Methoxyethanol,COCCO,-2.54,-6.1,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,COCCO
2-Methoxyethanol,COCCO,-3.73,-7.29,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,COCCO
2-Methoxyethyl Acetate,CC(=O)OCCOC,-2.74,-6.3,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,COCCOC(C)=O
2-Methylphenol,CC1=CC=CC=C1O,2.24,-1.32,17,305.15,Abdominal Human Skin,Static/Side-By-Side,PBS/Saline,Cc1ccccc1O
2-Methylphenol,CC1=CC=CC=C1O,-1.8,-5.36,50,305.15,Human Abdominal Skin,Static,PBS,Cc1ccccc1O
2-Naphthol,C1=CC=C2C=C(C=CC2=C1)O,-1.38,-4.94,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Oc1ccc2ccccc2c1
2-Naphthol,C1=CC=C2C=C(C=CC2=C1)O,-1.55,-5.11,50,305.15,Human Abdominal Skin,Static,PBS,Oc1ccc2ccccc2c1
2-Nitro-P-Phenylenediamine,C1=CC(=C(C=C1N)[N+](=O)[O-])N,0.03,-3.53,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Nc1ccc(N)c([N+](=O)[O-])c1
2-Nitro-P-Phenylenediamine,C1=CC(=C(C=C1N)[N+](=O)[O-])N,-3.3,-6.86,50,305.15,Human Abdominal Skin,Static,PBS,Nc1ccc(N)c([N+](=O)[O-])c1
2-Nitro-P-Phenylenediamine,C1=CC(=C(C=C1N)[N+](=O)[O-])N,-2.1,-5.66,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(N)c([N+](=O)[O-])c1
2-Nitro-P-Phenylenediamine,C1=CC(=C(C=C1N)[N+](=O)[O-])N,-2.27,-5.83,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(N)c([N+](=O)[O-])c1
2-Pentanone,CCCC(=O)C,-2.6,-6.16,3,305.15,Human Abdominal Skin,Static/Stirred,phosphate-buffered saline,CCCC(C)=O
2-Phenoxyethanol,C1=CC=C(C=C1)OCCO,0.69,-2.87,16,305.15,Human Abdominal Skin,Static,PBS/Saline,OCCOc1ccccc1
2-Phenoxyethanol,C1=CC=C(C=C1)OCCO,-2.88,-6.44,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,OCCOc1ccccc1
2-Phenyl Butanol,CCC(CO)C1=CC=CC=C1,-1.19,-4.75,105,305.15,Human Abdominal Skin,Static,PBS,CCC(CO)c1ccccc1
2-Phenyl Hexanol,CCCCC(CO)C1=CC=CC=C1,-1.01,-4.57,105,305.15,Human Abdominal Skin,Static,PBS,CCCCC(CO)c1ccccc1
2-Phenyl Pentanol,CCCC(CO)C1=CC=CC=C1,-0.97,-4.53,105,305.15,Human Abdominal Skin,Static,PBS,CCCC(CO)c1ccccc1
2-Phenyl Propanol,CC(CO)C1=CC=CC=C1,-1.28,-4.84,105,305.15,Human Abdominal Skin,Static,PBS,CC(CO)c1ccccc1
2-Phenylenediamine,C1=CC=C(C(=C1)N)N,-3.35,-6.91,50,305.15,Human Abdominal Skin,Static,PBS,Nc1ccccc1N
2-Phenylenediamine,C1=CC=C(C(=C1)N)N,-3.34,-6.9,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccccc1N
2-Phenylethanol,C1=CC=C(C=C1)CCO,-1.72,-5.28,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCCc1ccccc1
2-Phenylethanol,C1=CC=C(C=C1)CCO,-1.42,-4.98,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,OCCc1ccccc1
2-Phenylethanol,C1=CC=C(C=C1)CCO,-1.64,-5.2,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,OCCc1ccccc1
2-Phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O,1.76,-1.8,16,305.15,Abdominal Human Skin,Static,PBS/Saline,Oc1ccccc1-c1ccccc1
2-Phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O,-2.8,-6.36,43,305.15,Abdomen,Static,0.9% NaCl + 0.01% sodium azide + 3% BSA,Oc1ccccc1-c1ccccc1
2-Propoxyethanol,CCCOCCO,-3.19,-6.75,52,303.15,Cadaver,Franz Cell,Dulbecco PBS,CCCOCCO
2-Toluidine,CC1=CC=CC=C1N,-1.44,-5,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccccc1N
"2,3-Butanediol",CC(C(C)O)O,-4.4,-7.96,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,CC(O)C(C)O
"2,3-Butanediol",CC(C(C)O)O,-4.39,-7.95,3,305.15,Human Abdominal Skin,Static/Stirred,Phosphate-buffered saline,CC(O)C(C)O
"2,3-Butanediol",CC(C(C)O)O,-4.3,-7.86,32,303.15,"Cadaver, Abdomen",Glass Diffusion Cell,Distilled water,CC(O)C(C)O
"2,3-Butanediol",CC(C(C)O)O,-4.21,-7.77,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,CC(O)C(C)O
"2,3-butanediol",CC(O)C(O)C,-0.26,-3.82,17,305.15,Abdominal Human Skin,Static/Side-By-Side,PBS/Saline,CC(O)C(C)O
"2,4-Dichloroacetophenone",CC(=O)C1=C(C=C(C=C1)Cl)Cl,1.3,-2.26,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,CC(=O)c1ccc(Cl)cc1Cl
"2,4-Dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-1.22,-4.78,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,Oc1ccc(Cl)cc1Cl
"2,4-Dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-0.74,-4.3,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1ccc(Cl)cc1Cl
"2,4-Dichlorophenol",C1=CC(=C(C=C1Cl)Cl)O,-0.98,-4.54,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Oc1ccc(Cl)cc1Cl
"2,4-Dinitrochlorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,0.71,-2.85,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
"2,4-Dinitrochlorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,-1.54,-5.1,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
"2,4-Dinitrochlorobenzene",C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,-1.5,-5.06,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,-1.23,-4.79,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,Oc1c(Cl)cc(Cl)cc1Cl
"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,-0.74,-4.3,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1c(Cl)cc(Cl)cc1Cl
"2,4,6-Trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,-1.06,-4.62,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Oc1c(Cl)cc(Cl)cc1Cl
"2,5-Diaminotoluene",CC1=C(C=CC(=C1)N)N,-2.48,-6.04,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1cc(N)ccc1N
"2,5-Diaminotoluene",CC1=C(C=CC(=C1)N)N,-2.57,-6.13,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1cc(N)ccc1N
"2,5-Diaminotoluene Sulfate",Not found in PubChem,0.45,-3.11,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,
2(2-Methoxyethoxy)Ethanol,COCCOCCO,-3.69,-7.25,35,303.15,Abdomen,Static,Distilled water,COCCOCCO
2(2-Methoxyethoxy)Ethanol,COCCOCCO,-3.68,-7.24,45,303.15,"Cadaver, Abdomen",Glass Diffusion Cell,Water,COCCOCCO
21-Hydroxyprogesterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,0.21,-3.35,16,305.15,Abdominal Human Skin,Static,PBS/Saline,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
3-Cresol,CC1=CC(=CC=C1)O,-1.82,-5.38,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Cc1cccc(O)c1
3-Cresol,CC1=CC(=CC=C1)O,-2,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1cccc(O)c1
"3-Methyl-3H-Imidazo[4,5-F]Quinolin-2-Amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,-2.46,-6.02,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cn1c(N)nc2c3cccnc3ccc21
"3-Methyl-3H-Imidazo[4,5-F]Quinolin-2-Amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,-2.43,-5.99,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cn1c(N)nc2c3cccnc3ccc21
3-Methylphenol,CC1=CC(=CC=C1)O,-1.33,-4.89,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Cc1cccc(O)c1
3-Methylphenol,CC1=CC(=CC=C1)O,-1.81,-5.37,50,305.15,Human Abdominal Skin,Static,PBS,Cc1cccc(O)c1
3-Nitrophenol,C1=CC(=CC(=C1)[N+](=O)[O-])O,-2.25,-5.81,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,O=[N+]([O-])c1cccc(O)c1
3-Nitrophenol,C1=CC(=CC(=C1)[N+](=O)[O-])O,-1.77,-5.33,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=[N+]([O-])c1cccc(O)c1
3-Nitrophenol,C1=CC(=CC(=C1)[N+](=O)[O-])O,-2.01,-5.57,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,O=[N+]([O-])c1cccc(O)c1
3-Phenyl-N-Propanoic Acid,C1=CC=CC=C1CCC(=O)O,-1.72,-5.28,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)CCc1ccccc1
"3-Pyridinecarboxylic Acid, Butyl Ester",CCCCOC(=O)C1=CN=CC=C1,1.78,-1.78,16,305.15,Abdominal Human Skin,Static,PBS/Saline,CCCCOC(=O)c1cccnc1
3-Xylene,CC1=CC(=CC=C1)C,-1.1,-4.66,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1cccc(C)c1
"3,4-Dimethylphenol",CC1=C(C=C(C=C1)O)C,2.6,-0.96,17,305.15,Abdominal Human Skin,Static/Side-By-Side,PBS/Saline,Cc1ccc(O)cc1C
"3,4-Dimethylphenol",CC1=C(C=C(C=C1)O)C,-1.44,-5,50,305.15,Human Abdominal Skin,Static,PBS,Cc1ccc(O)cc1C
"3,4-Xylenol",CC1=CC=C(C=C1C)O,-1.44,-5,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Cc1ccc(O)cc1C
"3,4-Xylenol",CC1=CC=C(C=C1C)O,-0.96,-4.52,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Cc1ccc(O)cc1C
"3,4-Xylenol",CC1=CC=C(C=C1C)O,-1.2,-4.76,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Cc1ccc(O)cc1C
4-Amino-2-Nitrophenol,C1=CC(=C(C=C1N)[N+](=O)[O-])O,-2.55,-6.11,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccc(O)c([N+](=O)[O-])c1
4-Amino-2-Nitrophenol,C1=CC(=C(C=C1N)[N+](=O)[O-])O,-2.45,-6.01,107,,Human Skin,,,Nc1ccc(O)c([N+](=O)[O-])c1
4-Amino-3-Nitrophenol,C1=CC(=C(C=C1O)[N+](=O)[O-])N,0.31,-3.25,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Nc1ccc(O)cc1[N+](=O)[O-]
4-Amino-3-Nitrophenol,C1=CC(=C(C=C1O)[N+](=O)[O-])N,-2.14,-5.69,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(O)cc1[N+](=O)[O-]
4-Amino-3-Nitrophenol,C1=CC(=C(C=C1O)[N+](=O)[O-])N,-2.27,-5.82,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(O)cc1[N+](=O)[O-]
4-Aminophenol,C1=CC(=CC=C1N)O,0.11,-3.45,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Nc1ccc(O)cc1
4-Bromophenol,C1=CC(=CC=C1Br)O,-1.44,-5,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccc(Br)cc1
4-Bromophenol,C1=CC(=CC=C1Br)O,-0.96,-4.52,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1ccc(Br)cc1
4-Bromophenol,C1=CC(=CC=C1Br)O,-1.2,-4.76,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Oc1ccc(Br)cc1
4-Bromophenyl Isocyanate,C1=CC(=CC=C1Br)N=C=O,-2.04,-5.6,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C=Nc1ccc(Br)cc1
4-Bromophenyl Isocyanate,C1=CC(=CC=C1Br)N=C=O,-1.75,-5.31,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C=Nc1ccc(Br)cc1
4-Butylphenol,CCCCc1ccc(O)cc1,-0.91,-4.47,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCCCc1ccc(O)cc1
4-Chloro-3-Methylphenol,CC1=CC(=CC=C1Cl)O,-0.74,-4.3,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Cc1cc(O)ccc1Cl
4-Chloro-3-Methylphenol,CC1=CC(=CC=C1Cl)O,-1.26,-4.82,50,305.15,Human Abdominal Skin,Static,PBS,Cc1cc(O)ccc1Cl
"4-Chloro-3,5-Dimethylphenol",CC1=CC(=CC(=C1Cl)C)O,-0.75,-4.31,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Cc1cc(O)cc(C)c1Cl
"4-Chloro-3,5-Dimethylphenol",CC1=CC(=CC(=C1Cl)C)O,-1.23,-4.79,50,305.15,Human Abdominal Skin,Static,PBS,Cc1cc(O)cc(C)c1Cl
"4-Chloro-3,5-Xylenol",CC1=CC(=CC(=C1Cl)C)O,-1.28,-4.84,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1cc(O)cc(C)c1Cl
4-Chloro-M-Phenylenediamine,C1=CC(=C(C=C1N)N)Cl,-2.67,-6.23,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccc(Cl)c(N)c1
4-Chloro-M-Phenylenediamine,C1=CC(=C(C=C1N)N)Cl,-2.68,-6.24,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,Nc1ccc(Cl)c(N)c1
4-Chloro-M-Phenylenediamine,C1=CC(=C(C=C1N)N)Cl,-2.83,-6.39,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Nc1ccc(Cl)c(N)c1
4-Chloroaniline,C1=CC(=CC=C1Cl)N,1.12,-2.44,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Nc1ccc(Cl)cc1
4-Chlorobutyric Acid,C(CCCl)C(=O)O,0.35,-3.21,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,O=C(O)CCCCl
4-Chlorobutyric Acid,C(CCCl)C(=O)O,-1.97,-5.53,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C(O)CCCCl
4-Chlorobutyric Acid,C(CCCl)C(=O)O,-1.95,-5.51,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C(O)CCCCl
4-Chlorocresol,CC1=CC(=CC=C1Cl)O,-1.26,-4.82,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Cc1cc(O)ccc1Cl
4-Chlorocresol,CC1=CC(=CC=C1Cl)O,-1.27,-4.83,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Cc1cc(O)ccc1Cl
4-Chlorophenol,C1=CC(=CC=C1Cl)O,-1.44,-5,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Oc1ccc(Cl)cc1
4-Chlorophenol,C1=CC(=CC=C1Cl)O,-0.96,-4.52,14,305.15,Human Abdominal Skin,Static,PBS/Saline,Oc1ccc(Cl)cc1
4-Cresol,CC1=CC=C(C=C1)O,-1.75,-5.31,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Cc1ccc(O)cc1
4-Cresol,CC1=CC=C(C=C1)O,-2,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccc(O)cc1
4-Cresol,CC1=CC=C(C=C1)O,-1.76,-5.32,50,305.15,Human Abdominal Skin,Static,PBS,Cc1ccc(O)cc1
4-Cyanophenol,C1=CC(=CC=C1C#N)O,-1.97,-5.53,14,305.15,Human Abdominal Skin,Static,PBS/Saline,N#Cc1ccc(O)cc1
4-Cyanophenol,C1=CC(=CC=C1C#N)O,-2.17,-5.73,107,,Human Skin,,,N#Cc1ccc(O)cc1
4-Ethyl Phenol,CCC1=CC=C(C=C1)O,-1.46,-5.02,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CCc1ccc(O)cc1
4-Ethyl Phenol,CCC1=CC=C(C=C1)O,-0.97,-4.53,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCc1ccc(O)cc1
4-Hydroxybenzyl Alcohol,OCc1ccc(O)cc1,-2.7,-6.26,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCc1ccc(O)cc1
4-HydroxyMethylphenylacetate,CC(=O)OC1=CC=C(C=C1)CO,-1.7,-5.26,107,,Human Skin,,,CC(=O)Oc1ccc(CO)cc1
4-Hydroxyphenylacetamide,C1=CC(=CC=C1CC(=O)N)O,-3.34,-6.9,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NC(=O)Cc1ccc(O)cc1
4-Hydroxyphenylacetamide,C1=CC(=CC=C1CC(=O)N)O,-3.33,-6.89,107,,Human Skin,,,NC(=O)Cc1ccc(O)cc1
4-Hydroxyphenylacetic Acid,OC(=O)CC1=CC=C(C=C1)O,-2.6,-6.16,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)Cc1ccc(O)cc1
4-Hydroxyphenylacetic Acid,OC(=O)CC1=CC=C(C=C1)O,-2.55,-6.11,107,,Human Skin,,,O=C(O)Cc1ccc(O)cc1
4-Methyl-2-Pentanol,CC(C)CC(C)O,-2.33,-5.89,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)CC(C)O
4-Methylphenol,CC1=CC=C(C=C1)O,2.29,-1.27,17,305.15,Abdominal Human Skin,Static/Side-By-Side,PBS/Saline,Cc1ccc(O)cc1
4-Methylphenol,CC1=CC=C(C=C1)O,-1.75,-5.31,50,305.15,Human Abdominal Skin,Static,PBS,Cc1ccc(O)cc1
4-Methylphenol,CC1=CC=C(C=C1)O,-1.76,-5.32,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,Cc1ccc(O)cc1
4-Methylvaleric Acid,CC(C)CCC(=O)O,0.95,-2.61,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,CC(C)CCC(=O)O
4-Methylvaleric Acid,CC(C)CCC(=O)O,-2.58,-6.14,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(C)CCC(=O)O
4-Methylvaleric Acid,CC(C)CCC(=O)O,-2.8,-6.36,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(C)CCC(=O)O
4-Nitro-O-Phenylenediamine,C1=CC(=C(C=C1[N+](=O)[O-])N)N,0.26,-3.3,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Nc1ccc([N+](=O)[O-])cc1N
4-Nitro-O-Phenylenediamine,C1=CC(=C(C=C1[N+](=O)[O-])N)N,-2.13,-5.68,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc([N+](=O)[O-])cc1N
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,-2.25,-5.81,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,O=[N+]([O-])c1ccc(O)cc1
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,-1.77,-5.33,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=[N+]([O-])c1ccc(O)cc1
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,-2.01,-5.57,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,O=[N+]([O-])c1ccc(O)cc1
4-Phenylbutanoic Acid,C1=CC=CC=C1CCCC(=O)O,-1.29,-4.85,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CCCc1ccccc1
4-Phenylbutanol,C1=CC=CC=C1CCCCO,-1.08,-4.64,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCCCCc1ccccc1
4-Phenylbutyric Acid,C1=CC=CC=C1CCCC(=O)O,-1.94,-5.5,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)CCCc1ccccc1
4-Phenylenediamine,C1=CC(=CC=C1N)N,-3.62,-7.18,50,305.15,Human Abdominal Skin,Static,PBS,Nc1ccc(N)cc1
4-Phenylenediamine,C1=CC(=CC=C1N)N,-2.82,-6.37,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(N)cc1
4-Phenylenediamine,C1=CC(=CC=C1N)N,-2.75,-6.31,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(N)cc1
4-Propoxyphenol,CCCOC1=CC=C(C=C1)O,-1.62,-5.18,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCCOc1ccc(O)cc1
4-Propoxyphenol,CCCOC1=CC=C(C=C1)O,-1.82,-5.38,107,,Human Skin,,,CCCOc1ccc(O)cc1
4-Tolunitrile,CC1=CC=C(C=C1)C#N,1.59,-1.97,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Cc1ccc(C#N)cc1
"4,4'-Diaminobiphenyl Methane",C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,0.92,-2.64,16,305.15,Abdominal Human Skin,Static,PBS/Saline,Nc1ccc(Cc2ccc(N)cc2)cc1
5-Aminolevulinic Acid,NCC(=O)CCC(=O)O,-4.15,-7.71,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NCC(=O)CCC(=O)O
5-Ethyl-5-(3-Methylbutyl)Barbital,Not found in PubChem,-2.42,-5.98,14,305.15,Human Abdominal Skin,Static,PBS/Saline,
5-Ethyl-5-Butylbarbituric Acid,CCCCC1(C(=O)NC(=O)NC1=O)CC,-3.49,-7.05,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCCCC1(CC)C(=O)NC(=O)NC1=O
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-4.17,-7.73,109,305.15,Human Abdominal Skin,Static,PBS,O=c1[nH]cc(F)c(=O)[nH]1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,-3.88,-7.44,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=c1[nH]cc(F)c(=O)[nH]1
5-Phenylpentanoic Acid,C1=CC=CC=C1CCCCC(=O)O,-0.74,-4.3,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CCCCc1ccccc1
5-Phenylpentanol,C1=CC=CC=C1CCCCC(O),-0.94,-4.5,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,OCCCCCc1ccccc1
"5,5-Diethylbarbituric Acid",CCC1(C(=O)NC(=O)NC1=O)CC,-3.73,-7.29,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCC1(CC)C(=O)NC(=O)NC1=O
6-Methylcoumarin,CC1=CC2=C(C=C1)OC(=O)C=C2,0.82,-2.74,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Cc1ccc2oc(=O)ccc2c1
6-Methylcoumarin,CC1=CC2=C(C=C1)OC(=O)C=C2,-1.29,-4.85,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1ccc2oc(=O)ccc2c1
6-Methylcoumarin,CC1=CC2=C(C=C1)OC(=O)C=C2,-1.33,-4.89,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1ccc2oc(=O)ccc2c1
7-Ethoxycoumarin,CCOC1=CC2=C(C=C1)C=CC(=O)O2,0.9,-2.66,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,CCOc1ccc2ccc(=O)oc2c1
7-Ethoxycoumarin,CCOC1=CC2=C(C=C1)C=CC(=O)O2,-0.51,-4.07,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CCOc1ccc2ccc(=O)oc2c1
7-Ethoxycoumarin,CCOC1=CC2=C(C=C1)C=CC(=O)O2,-0.92,-4.48,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CCOc1ccc2ccc(=O)oc2c1
7-Hydroxycoumarin,C1=CC(=CC2=C1C=CC(=O)O2)O,0.69,-2.87,23,,Human Skin,,,O=c1ccc2ccc(O)cc2o1
7-Phenylheptanoic Acid,C1=CC=CC=C1CCCCCCC(=O)O,-0.3,-3.86,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CCCCCCc1ccccc1
8-Methoxypsoralen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,-1.56,-5.12,14,305.15,Human Abdominal Skin,Static,PBS/Saline,COc1c2occc2cc2ccc(=O)oc12
