Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
Epikote Yx4000,CC1=CC(=CC(=C1O)C)C2=CC(=C(C(=C2)C)O)C,-7.33,-10.89,38,305.15,Breast,"Flow-
Through",Hanks’ balanced salt solution (HBSS) + 25 mM HEPES (pH 7.4) + 2.5% BSA + Gentamicin 50 µg/mL,Cc1cc(-c2cc(C)c(O)c(C)c2)cc(C)c1O
Antipyrine,CC1=CC(=O)N(N1C)C2=CC=CC=C2,-4.18,-7.74,109,305.15,Human Abdominal Skin,Static,PBS,Cc1cc(=O)n(-c2ccccc2)n1C
"2,5-Diaminotoluene",CC1=C(C=CC(=C1)N)N,-2.57,-6.13,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1cc(N)ccc1N
"4-Chloro-3,5-Xylenol",CC1=CC(=CC(=C1Cl)C)O,-1.28,-4.84,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1cc(O)cc(C)c1Cl
4-Chlorocresol,CC1=CC(=CC=C1Cl)O,-1.27,-4.83,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Cc1cc(O)ccc1Cl
P-Tolunitrile,CC1=CC=C(C=C1)C#N,-1.62,-5.18,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1ccc(C#N)cc1
Thymol,CC1=CC(=C(C=C1)C(C)C)O,-1.28,-4.84,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,Cc1ccc(C(C)C)c(O)c1
Carvacrol,CC1=C(C=C(C=C1)C(C)C)O,-1.28,-4.84,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Cc1ccc(C(C)C)cc1O
4-Cresol,CC1=CC=C(C=C1)O,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccc(O)cc1
"3,4-Dimethylphenol",CC1=C(C=C(C=C1)O)C,-1.44,-5.0,50,305.15,Human Abdominal Skin,Static,PBS,Cc1ccc(O)cc1C
N-Methyl Carbamazepine,CC1=CC2=C(C=C1)N(C3=CC=CC=C3C=C2)C(=O)N,-1.58,-5.14,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Cc1ccc2c(c1)C=Cc1ccccc1N2C(N)=O
6-Methylcoumarin,CC1=CC2=C(C=C1)OC(=O)C=C2,-1.33,-4.89,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cc1ccc2oc(=O)ccc2c1
3-Xylene,CC1=CC(=CC=C1)C,-1.1,-4.66,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1cccc(C)c1
3-Cresol,CC1=CC(=CC=C1)O,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1cccc(O)c1
Toluene,CC1=CC=CC=C1,-1.3,-4.86,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccccc1
2-Toluidine,CC1=CC=CC=C1N,-1.44,-5.0,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccccc1N
2-Cresol,CC1=CC=CC=C1O,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Cc1ccccc1O
Pirimicarb,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,-0.82,-4.38,27,305.15,Human Skin(Breast/Abdominal),Static/Stirred,0.9% NaCl,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C
(Z)-Dichloropropene,C(/C=C\Cl)Cl,3.46,-0.1,16,305.15,Abdominal Human Skin,Static,PBS/Saline,Cl/C=C\CCl
Chlorodibromomethane,C(Br)(Br)Cl,-0.81,-4.37,14,305.15,Human Abdominal Skin,Static,PBS/Saline,ClC(Br)Br
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1.4,-4.96,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,ClC(Cl)(Cl)C(Cl)(Cl)Cl
Hexachlorobutadiene,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,-0.92,-4.48,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
Tetrachloroethylene,C(=C(Cl)Cl)(Cl)Cl,-0.85,-4.41,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,ClC(Cl)=C(Cl)Cl
Bromodichloromethane,C(Br)(Cl)Cl,-0.85,-4.41,14,305.15,Human Abdominal Skin,Static,PBS/Saline,ClC(Cl)Br
Trichloromethane,C(Cl)(Cl)Cl,-1.8,-5.36,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,ClC(Cl)Cl
Syn-Ddc-Co,C1C[C@H]2[C@@H](CC[C@H]3[C@@H]1[C@]4(C(=C([C@@]3(C4(Cl)Cl)Cl)Cl)Cl)Cl)[C@]5(C(=C([C@@]2(C5(Cl)Cl)Cl)Cl)Cl)Cl,-0.16,-3.72,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,ClC1=C(Cl)[C@]2(Cl)[C@@H]3CC[C@H]4[C@@H](CC[C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@@]1(Cl)C(Cl)=C(Cl)[C@]4(Cl)C1(Cl)Cl
Trichloroethylene,C(=C(Cl)Cl)Cl,-0.92,-4.48,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,ClC=C(Cl)Cl
1-3-Dichloropropene,C(C=CCl)Cl,-2.0,-5.56,50,305.15,Human Abdominal Skin,Static,PBS,ClC=CCCl
Epichlorohydrin,C1C(O1)CCl,-3.43,-6.99,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,ClCC1CO1
Ethylene Dichloride,ClCCCl,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,ClCCCl
Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,-0.3,-3.86,68,305.15,Surgery,Static Franz Cell,Acetate buffer,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,-2.7,-6.26,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-4.68,-8.23,51,305.15,"Surgery, Abdomen",Modified Franz Cell,PBS containing 10 mM phosphate buffer 137 mM NaCl and 2.7 mM KCl at pH 7.4 with 0.005% of gentamicin sulfate as a preservative,Cn1c(=O)c2[nH]cnc2n(C)c1=O
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-3.82,-7.37,91,310.15,"Surgery, Breast",Static Franz Cell,"Hanks balanced salt solution with 50 mg/L of gentamicin sulfate, 0.32 g/L of sodium bicarbonate, 5.96 g/L of HEPES",Cn1c(=O)c2c(ncn2C)n(C)c1=O
"3-Methyl-3H-Imidazo[4,5-F]Quinolin-2-Amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,-2.46,-6.02,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Cn1c(N)nc2c3cccnc3ccc21
Methylisothiazolinone,CN1C(=O)C=CS1,-0.52,-4.08,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,Cn1sccc1=O
Dibromoacetonitrile,C(Br)(Br)C#N,-1.32,-4.88,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,N#CC(Br)Br
Trichloroacetonitrile,C(#N)C(Cl)(Cl)Cl,-1.04,-4.6,79,310.15,"Cadaver, Torso",Glass Diffusion Cell,PBS,N#CC(Cl)(Cl)Cl
Bromochloroacetonitrile,ClC(C#N)Br,-1.35,-4.91,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,N#CC(Cl)Br
Dichloroacetonitrile,C(Cl)(Cl)C#N,-1.39,-4.95,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,N#CC(Cl)Cl
Chloroacetonitrile,ClCC#N,-1.0,-4.56,14,305.15,Human Abdominal Skin,Static,PBS/Saline,N#CCCl
4-Cyanophenol,C1=CC(=CC=C1C#N)O,-1.97,-5.53,14,305.15,Human Abdominal Skin,Static,PBS/Saline,N#Cc1ccc(O)cc1
Minoxidil,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,-1.92,-5.48,111,310.15,"Cadaver, Abdomen",Vertical Flow Diffusion Cell,NaCl solution with gentamicin (0.016%),N=c1nc(N2CCCCC2)cc(N)n1O
4-Hydroxyphenylacetamide,C1=CC(=CC=C1CC(=O)N)O,-3.34,-6.9,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NC(=O)Cc1ccc(O)cc1
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,-2.12,-5.68,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NC(=O)N1c2ccccc2C=Cc2ccccc21
Niacinamide,C1=CC(=CN=C1)C(=O)N,-5.65,-9.2,67,305.15,"Surgery, Abdomen",Static Franz Cell,PBS,NC(=O)c1cccnc1
Famotidine,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,-4.59,-8.15,14,305.15,Human Abdominal Skin,Static,PBS/Saline,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
Urea,C(=O)(N)N,-4.37,-7.93,14,305.15,Human Abdominal Skin,Static,PBS/Saline,NC(N)=O
5-Aminolevulinic Acid,NCC(=O)CCC(=O)O,-4.15,-7.71,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NCC(=O)CCC(=O)O
Baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,-4.41,-7.97,105,305.15,Human Abdominal Skin,Static,PBS,NCC(CC(=O)O)c1ccc(Cl)cc1
Lysine,C(CCN)C[C@@H](C(=O)O)N,-3.77,-7.33,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NCCCC[C@H](N)C(=O)O
Ethanolamine,NCCO,-4.02,-7.58,50,305.15,Human Abdominal Skin,Static,PBS,NCCO
Dopamine,C1=CC(=C(C=C1CCN)O)O,-3.98,-7.54,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,NCCc1ccc(O)c(O)c1
Phenylethylamine,C1=CC=C(C=C1)CCN,-3.77,-7.33,105,305.15,Human Abdominal Skin,Static,PBS,NCCc1ccccc1
Aspartic Acid,C([C@@H](C(=O)O)N)C(=O)O,-3.95,-7.51,109,305.15,Human Abdominal Skin,Static,PBS,N[C@@H](CC(=O)O)C(=O)O
Levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,-4.17,-7.73,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Histidine,N[C@@H](CC1=CN=CN1)C(=O)O,-4.35,-7.91,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,N[C@@H](Cc1cnc[nH]1)C(=O)O
2-Amino-4-Nitrophenol,C1=CC(=C(C=C1[N+](=O)[O-])N)O,-3.18,-6.74,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,Nc1cc([N+](=O)[O-])ccc1O
P-Aminobenzoic Acid,C1=CC(=CC=C1C(=O)O)N,-3.36,-6.92,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccc(C(=O)O)cc1
Mda,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,-3.57,-7.13,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,Nc1ccc(Cc2ccc(N)cc2)cc1
4-Chloro-M-Phenylenediamine,C1=CC(=C(C=C1N)N)Cl,-2.83,-6.39,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,Nc1ccc(Cl)c(N)c1
P-Chloroaniline,C1=CC(=CC=C1N)Cl,-1.44,-5.0,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(Cl)cc1
2-Nitro-P-Phenylenediamine,C1=CC(=C(C=C1N)[N+](=O)[O-])N,-3.3,-6.86,50,305.15,Human Abdominal Skin,Static,PBS,Nc1ccc(N)c([N+](=O)[O-])c1
4-Phenylenediamine,C1=CC(=CC=C1N)N,-3.62,-7.18,50,305.15,Human Abdominal Skin,Static,PBS,Nc1ccc(N)cc1
Hc Red No. 3,C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,-2.52,-6.08,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(NCCO)c([N+](=O)[O-])c1
4-Amino-2-Nitrophenol,C1=CC(=C(C=C1N)[N+](=O)[O-])O,-2.55,-6.11,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccc(O)c([N+](=O)[O-])c1
P-Aminophenol,C1=CC(=CC=C1N)O,-2.17,-5.73,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(O)cc1
4-Amino-3-Nitrophenol,C1=CC(=C(C=C1O)[N+](=O)[O-])N,-2.27,-5.82,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc(O)cc1[N+](=O)[O-]
4-Nitro-O-Phenylenediamine,C1=CC(=C(C=C1[N+](=O)[O-])N)N,-2.13,-5.68,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,Nc1ccc([N+](=O)[O-])cc1N
Aniline,C1=CC=C(C=C1)N,-2.65,-6.21,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,Nc1ccccc1
2-Phenylenediamine,C1=CC=C(C(=C1)N)N,-3.35,-6.91,50,305.15,Human Abdominal Skin,Static,PBS,Nc1ccccc1N
2-Aminophenol,C1=CC=C(C(=C1)N)O,0.49,-3.07,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,Nc1ccccc1O
Lamivudine,C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,-2.16,-5.72,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
Cytarabine,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,-5.3,-8.86,89,305.15,"Abdominoplasty, Abdomen",Franz Cell,PBS,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
Zalcitabine,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,-3.08,-6.64,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,-4.22,-7.78,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
Water,O,-3.7,-7.26,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O
Cyclophosphamide Monohydrate,C1CNP(=O)(OC1)N(CCCl)CCCl.O,-2.82,-6.38,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O.O=P1(N(CCCl)CCCl)NCCCO1
Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,-3.47,-7.03,102,310.15,"Cadaver, Abdomen",Franz Cell,PBS,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
Nicorandil,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-],-3.66,-7.22,109,305.15,Human Abdominal Skin,Static,PBS,O=C(NCCO[N+](=O)[O-])c1cccnc1
Trans-Cinnamic Acid,C1=CC=C(C=C1)/C=C/C(=O)O,-2.47,-6.03,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C(O)/C=C/c1ccccc1
Dibromoacetic Acid,C(C(=O)O)(Br)Br,-2.01,-5.57,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)C(Br)Br
Trichloroacetic Acid,C(=O)(C(Cl)(Cl)Cl)O,-2.72,-6.28,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)C(Cl)(Cl)Cl
Bromochloroacetic Acid,ClC(C(=O)O)Br,-2.79,-6.35,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)C(Cl)Br
Dichloroacetic Acid,ClC(Cl)C(=O)O,-2.19,-5.75,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)C(Cl)Cl
Perfluorooctanoic Acid,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-4.36,-7.91,61,310.15,Human Abdominal Skin,Flow,HEPES-buffered Hanks Balanced Salt Solution (HBSS),O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
Bromoacetic Acid,C(C(=O)O)Br,-2.45,-6.01,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CBr
8-Phenylcaprylic Acid,C1=CC=CC=C1CCCCCCCC(=O)O,-2.04,-5.6,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)CCCCCCCc1ccccc1
7-Phenylheptanoic Acid,C1=CC=CC=C1CCCCCCC(=O)O,-0.3,-3.86,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CCCCCCc1ccccc1
5-Phenylpentanoic Acid,C1=CC=CC=C1CCCCC(=O)O,-0.74,-4.3,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CCCCc1ccccc1
4-Chlorobutyric Acid,C(CCCl)C(=O)O,-1.97,-5.53,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C(O)CCCCl
4-Phenylbutyric Acid,C1=CC=CC=C1CCCC(=O)O,-1.94,-5.5,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)CCCc1ccccc1
Tcep,C(CP(CCC(=O)O)CCC(=O)O)C(=O)O,1.29,-2.27,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,O=C(O)CCP(CCC(=O)O)CCC(=O)O
3-Phenyl-N-Propanoic Acid,C1=CC=CC=C1CCC(=O)O,-1.72,-5.28,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)CCc1ccccc1
Chloroacetic Acid,ClCC(=O)O,-2.41,-5.97,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O=C(O)CCl
Calcein,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C(=C4)CN(CC(=O)O)CC(=O)O)O)OC5=C3C=C(C(=C5)O)CN(CC(=O)O)CC(=O)O,-5.1,-8.65,87,310.15,"Surgery, Abdomen",Static Franz Cell,PBS,O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21
Glyphosate,C(C(=O)O)NCP(=O)(O)O,-3.33,-6.89,101,310.15,Cadaver,Flow Through Cell,PBS,O=C(O)CNCP(=O)(O)O
Aceclofenac,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,-3.15,-6.71,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Thioglycolic Acid,C(C(=O)O)S,-1.69,-5.25,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,O=C(O)CS
4-Hydroxyphenylacetic Acid,OC(=O)CC1=CC=C(C=C1)O,-2.6,-6.16,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,O=C(O)Cc1ccc(O)cc1
